observation --- [234, 221, 244, 378, 687, 868] info --- {'sequence': ['N153', 'N637', 'N601', 'E29', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.715325355529785 logZ --- 1.052531361579895
observation --- [172, 197, 90, 278, 721, 868] info --- {'sequence': ['N409', 'N647', 'N450', 'E197', 'E217', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.474218368530273 logZ --- 1.052531361579895
observation --- [228, 728, 251, 453, 328, 868] info --- {'sequence': ['N200', 'N326', 'N304', 'E27', 'E102', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.35581111907959 logZ --- 1.0570104122161865
observation --- [541, 538, 317, 331, 649, 868] info --- {'sequence': ['N87', 'N578', 'N2', 'E20', 'E101', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2110027797677636 loss --- 519.8841552734375 logZ --- 1.0570104122161865
observation --- [705, 94, 454, 405, 783, 868] info --- {'sequence': ['N539', 'N462', 'N520', 'E119', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.220538139343262 logZ --- 1.0570104122161865
observation --- [501, 258, 617, 759, 827, 868] info --- {'sequence': ['N91', 'N363', 'N346', 'E38', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.256568908691406 logZ --- 1.0570104122161865
observation --- [30, 221, 806, 462, 858, 868] info --- {'sequence': ['N29', 'N637', 'N156', 'E31', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.744157791137695 logZ --- 1.0570104122161865
observation --- [525, 344, 251, 467, 135, 868] info --- {'sequence': ['N525', 'N389', 'N304', 'E10', 'E194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.15873353144826 loss --- 526.230224609375 logZ --- 1.0614278316497803
observation --- [705, 798, 569, 246, 366, 868] info --- {'sequence': ['N539', 'N362', 'N434', 'E185', 'E170', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.734190940856934 logZ --- 1.0614278316497803
observation --- [123, 322, 706, 452, 118, 868] info --- {'sequence': ['N90', 'N141', 'N50', 'E67', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.667239189147949 logZ --- 1.0614278316497803
observation --- [314, 448, 222, 726, 693, 868] info --- {'sequence': ['N365', 'N545', 'N385', 'E234', 'E95', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.101965427398682 logZ --- 1.0614278316497803
observation --- [30, 794, 50, 550, 210, 868] info --- {'sequence': ['N29', 'N236', 'N435', 'E108', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2765429636869938 loss --- 567.87744140625 logZ --- 1.0614278316497803
observation --- [818, 707, 598, 776, 210, 868] info --- {'sequence': ['N335', 'N149', 'N312', 'E105', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.858808517456055 logZ --- 1.0659276247024536
observation --- [326, 780, 288, 496, 354, 868] info --- {'sequence': ['N710', 'N368', 'N700', 'E65', 'E148', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.109478950500488 logZ --- 1.0659276247024536
observation --- [261, 801, 490, 157, 568, 868] info --- {'sequence': ['N618', 'N337', 'N158', 'E5', 'E154', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.02684497833252 logZ --- 1.0659276247024536
observation --- [247, 360, 588, 600, 534, 868] info --- {'sequence': ['N524', 'N69', 'N271', 'E53', 'E126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.037330981972133 loss --- 505.854736328125 logZ --- 1.0659276247024536
observation --- [30, 573, 102, 677, 561, 868] info --- {'sequence': ['N29', 'N67', 'N395', 'E189', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.856539726257324 logZ --- 1.0659276247024536
observation --- [830, 53, 666, 70, 227, 868] info --- {'sequence': ['N282', 'N617', 'N466', 'E92', 'E175', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.363361358642578 logZ --- 1.070355772972107
observation --- [290, 190, 659, 694, 193, 868] info --- {'sequence': ['N512', 'N78', 'N313', 'E206', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0604433240321354 loss --- 534.97119140625 logZ --- 1.070355772972107
observation --- [734, 80, 102, 726, 42, 868] info --- {'sequence': ['N448', 'N672', 'N395', 'E234', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.385141849517822 logZ --- 1.070355772972107
observation --- [123, 648, 129, 328, 157, 868] info --- {'sequence': ['N90', 'N111', 'N52', 'E102', 'E5', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.286725044250488 logZ --- 1.070355772972107
observation --- [306, 499, 395, 110, 158, 868] info --- {'sequence': ['N614', 'N189', 'N708', 'E202', 'E34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.085922999739045 loss --- 510.0982971191406 logZ --- 1.070355772972107
observation --- [81, 863, 490, 453, 680, 868] info --- {'sequence': ['N276', 'N293', 'N158', 'E27', 'E104', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0180878535433002 loss --- 549.5230712890625 logZ --- 1.0748615264892578
observation --- [852, 797, 454, 750, 606, 868] info --- {'sequence': ['N210', 'N249', 'N520', 'E64', 'E110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.740234375 logZ --- 1.0748615264892578
observation --- [509, 38, 841, 694, 520, 868] info --- {'sequence': ['N202', 'N586', 'N73', 'E206', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.079754829406738 logZ --- 1.0748615264892578
observation --- [306, 538, 806, 858, 600, 868] info --- {'sequence': ['N614', 'N578', 'N156', 'E142', 'E53', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.517889976501465 logZ --- 1.0748615264892578
observation --- [407, 133, 674, 662, 460, 868] info --- {'sequence': ['N255', 'N217', 'N32', 'E13', 'E192', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.411909580230713 logZ --- 1.0748615264892578
observation --- [760, 20, 57, 477, 467, 868] info --- {'sequence': ['N513', 'N228', 'N34', 'E169', 'E10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.137915433940036 loss --- 546.46484375 logZ --- 1.079293966293335
observation --- [576, 320, 265, 462, 5, 868] info --- {'sequence': ['N455', 'N636', 'N398', 'E31', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 15.815142631530762 logZ --- 1.079293966293335
observation --- [690, 717, 588, 842, 636, 868] info --- {'sequence': ['N62', 'N204', 'N271', 'E68', 'E82', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.125391006469727 logZ --- 1.079293966293335
observation --- [176, 218, 810, 827, 819, 868] info --- {'sequence': ['N547', 'N120', 'N109', 'E98', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.637335777282715 logZ --- 1.079293966293335
