observation --- [141, 30, 19, 867] info --- {'sequence': ['N13', 'N29', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.99934768676758 logZ --- 0.9274519085884094
observation --- [144, 144, 39, 867] info --- {'sequence': ['N257', 'N257', 'N416', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.03817284212663 loss --- 167.93115234375 logZ --- 0.923276960849762
observation --- [381, 478, 740, 867] info --- {'sequence': ['N1', 'N4', 'N150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.15350341796875 logZ --- 0.923276960849762
observation --- [248, 289, 769, 867] info --- {'sequence': ['N174', 'N580', 'N51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.65336227416992 logZ --- 0.923276960849762
observation --- [373, 332, 812, 867] info --- {'sequence': ['N538', 'N399', 'N415', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.62077713012695 logZ --- 0.923276960849762
observation --- [289, 172, 635, 867] info --- {'sequence': ['N580', 'N409', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.496681213378906 logZ --- 0.923276960849762
observation --- [314, 164, 657, 867] info --- {'sequence': ['N365', 'N292', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.77995300292969 logZ --- 0.919147253036499
observation --- [376, 97, 415, 867] info --- {'sequence': ['N201', 'N112', 'N386', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.4693351479601133 loss --- 164.88478088378906 logZ --- 0.919147253036499
observation --- [151, 818, 489, 867] info --- {'sequence': ['N575', 'N335', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.78559112548828 logZ --- 0.919147253036499
observation --- [835, 30, 424, 867] info --- {'sequence': ['N689', 'N29', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.683963775634766 logZ --- 0.919147253036499
observation --- [705, 128, 321, 867] info --- {'sequence': ['N539', 'N317', 'N231', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.04391098022461 logZ --- 0.919147253036499
observation --- [757, 290, 21, 867] info --- {'sequence': ['N464', 'N512', 'N411', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.530738830566406 logZ --- 0.9150553941726685
observation --- [141, 145, 795, 867] info --- {'sequence': ['N13', 'N263', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.159732818603516 logZ --- 0.9150553941726685
observation --- [202, 733, 434, 867] info --- {'sequence': ['N376', 'N445', 'N377', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.589847564697266 logZ --- 0.9150553941726685
observation --- [734, 661, 769, 867] info --- {'sequence': ['N448', 'N597', 'N51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.29656219482422 logZ --- 0.9150553941726685
observation --- [128, 234, 686, 867] info --- {'sequence': ['N317', 'N153', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0665035438669144 loss --- 145.3302001953125 logZ --- 0.9150553941726685
observation --- [601, 455, 853, 867] info --- {'sequence': ['N128', 'N564', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.3250846862793 logZ --- 0.9109770059585571
