observation --- [653, 82, 261, 455, 867] info --- {'sequence': ['N600', 'N718', 'N618', 'N564', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.286235809326172 logZ --- 0.9372687935829163
observation --- [598, 144, 46, 308, 867] info --- {'sequence': ['N312', 'N257', 'N470', 'N193', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.815196990966797 logZ --- 0.9372687935829163
observation --- [50, 493, 729, 385, 867] info --- {'sequence': ['N435', 'N557', 'N12', 'N454', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.75732707977295 logZ --- 0.9372687935829163
observation --- [537, 137, 82, 30, 867] info --- {'sequence': ['N215', 'N387', 'N718', 'N29', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.172088623046875 logZ --- 0.9372687935829163
observation --- [454, 137, 818, 390, 867] info --- {'sequence': ['N520', 'N387', 'N335', 'N330', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 6.261258602142334 logZ --- 0.9372687935829163
observation --- [28, 375, 732, 541, 867] info --- {'sequence': ['N39', 'N288', 'N390', 'N87', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.314752578735352 logZ --- 0.9333932399749756
observation --- [91, 566, 171, 172, 867] info --- {'sequence': ['N307', 'N17', 'N100', 'N409', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.587101936340332 logZ --- 0.9333932399749756
observation --- [113, 290, 41, 640, 867] info --- {'sequence': ['N515', 'N512', 'N551', 'N460', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.023347854614258 logZ --- 0.9333932399749756
observation --- [34, 733, 566, 211, 867] info --- {'sequence': ['N57', 'N445', 'N17', 'N500', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 15.279926300048828 logZ --- 0.9333932399749756
observation --- [159, 593, 30, 145, 867] info --- {'sequence': ['N461', 'N301', 'N29', 'N263', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.533041000366211 logZ --- 0.9333932399749756
observation --- [490, 314, 146, 171, 867] info --- {'sequence': ['N158', 'N365', 'N503', 'N100', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.777606964111328 logZ --- 0.9293230772018433
observation --- [834, 848, 574, 228, 867] info --- {'sequence': ['N371', 'N581', 'N127', 'N200', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.280576705932617 logZ --- 0.9293230772018433
observation --- [386, 580, 97, 390, 867] info --- {'sequence': ['N514', 'N223', 'N112', 'N330', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.934691429138184 logZ --- 0.9293230772018433
observation --- [814, 439, 46, 49, 867] info --- {'sequence': ['N190', 'N46', 'N470', 'N498', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 3.826657295227051 logZ --- 0.9293230772018433
observation --- [464, 146, 576, 228, 867] info --- {'sequence': ['N662', 'N503', 'N455', 'N200', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2227016951248797 loss --- 279.06951904296875 logZ --- 0.9293230772018433
observation --- [102, 81, 82, 49, 867] info --- {'sequence': ['N395', 'N276', 'N718', 'N498', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.829021453857422 logZ --- 0.9258504509925842
observation --- [598, 541, 324, 501, 867] info --- {'sequence': ['N312', 'N87', 'N42', 'N91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.713058471679688 logZ --- 0.9258504509925842
observation --- [90, 642, 171, 665, 867] info --- {'sequence': ['N450', 'N27', 'N100', 'N342', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.686841011047363 logZ --- 0.9258504509925842
observation --- [718, 690, 97, 230, 867] info --- {'sequence': ['N388', 'N62', 'N112', 'N654', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.69145679473877 logZ --- 0.9258504509925842
observation --- [395, 314, 176, 439, 867] info --- {'sequence': ['N708', 'N365', 'N547', 'N46', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 5.94148063659668 logZ --- 0.9258504509925842
observation --- [395, 527, 640, 705, 867] info --- {'sequence': ['N708', 'N471', 'N460', 'N539', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.200531005859375 logZ --- 0.9221724271774292
observation --- [659, 151, 733, 376, 867] info --- {'sequence': ['N313', 'N575', 'N445', 'N201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.645514488220215 logZ --- 0.9221724271774292
observation --- [645, 289, 332, 640, 867] info --- {'sequence': ['N115', 'N580', 'N399', 'N460', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.50839614868164 logZ --- 0.9221724271774292
observation --- [226, 509, 732, 323, 867] info --- {'sequence': ['N267', 'N202', 'N390', 'N89', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.392017364501953 logZ --- 0.9221724271774292
observation --- [710, 712, 308, 385, 867] info --- {'sequence': ['N404', 'N665', 'N193', 'N454', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 16.003082275390625 logZ --- 0.9221724271774292
observation --- [387, 375, 566, 41, 867] info --- {'sequence': ['N113', 'N288', 'N17', 'N551', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.81177806854248 logZ --- 0.9182779788970947
observation --- [666, 248, 789, 352, 867] info --- {'sequence': ['N466', 'N174', 'N549', 'N534', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 6.941115379333496 logZ --- 0.9182779788970947
observation --- [653, 247, 239, 239, 867] info --- {'sequence': ['N600', 'N524', 'N420', 'N420', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.827371597290039 logZ --- 0.9182779788970947
observation --- [806, 661, 145, 336, 867] info --- {'sequence': ['N156', 'N597', 'N263', 'N360', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.882996559143066 logZ --- 0.9182779788970947
observation --- [558, 711, 711, 350, 867] info --- {'sequence': ['N3', 'N522', 'N522', 'N705', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 15.549105644226074 logZ --- 0.9182779788970947
observation --- [433, 574, 151, 164, 867] info --- {'sequence': ['N649', 'N127', 'N575', 'N292', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.579966068267822 logZ --- 0.9142059683799744
observation --- [44, 144, 711, 642, 867] info --- {'sequence': ['N719', 'N257', 'N522', 'N27', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 15.007747650146484 logZ --- 0.9142059683799744
observation --- [490, 767, 137, 145, 867] info --- {'sequence': ['N158', 'N259', 'N387', 'N263', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 15.00532341003418 logZ --- 0.9142059683799744
observation --- [454, 712, 151, 30, 867] info --- {'sequence': ['N520', 'N665', 'N575', 'N29', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.848607063293457 logZ --- 0.9142059683799744
observation --- [365, 105, 231, 145, 867] info --- {'sequence': ['N184', 'N417', 'N211', 'N263', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.83604907989502 logZ --- 0.9142059683799744
observation --- [810, 164, 661, 375, 867] info --- {'sequence': ['N109', 'N292', 'N597', 'N288', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.437727928161621 logZ --- 0.9099888801574707
observation --- [113, 137, 566, 307, 867] info --- {'sequence': ['N515', 'N387', 'N17', 'N688', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.6749267578125 logZ --- 0.9099888801574707
observation --- [395, 478, 41, 211, 867] info --- {'sequence': ['N708', 'N4', 'N551', 'N500', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.863147735595703 logZ --- 0.9099888801574707
observation --- [674, 376, 164, 105, 867] info --- {'sequence': ['N32', 'N201', 'N292', 'N417', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.949877738952637 logZ --- 0.9099888801574707
observation --- [714, 289, 324, 515, 867] info --- {'sequence': ['N697', 'N580', 'N42', 'N71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 14.49773120880127 logZ --- 0.9099888801574707
observation --- [50, 176, 144, 390, 867] info --- {'sequence': ['N435', 'N547', 'N257', 'N330', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 6.801334857940674 logZ --- 0.9056265950202942
observation --- [766, 31, 202, 324, 867] info --- {'sequence': ['N310', 'N616', 'N376', 'N42', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 5.998438835144043 logZ --- 0.9056265950202942
observation --- [653, 566, 559, 754, 867] info --- {'sequence': ['N600', 'N17', 'N129', 'N194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 14.385078430175781 logZ --- 0.9056265950202942
observation --- [454, 580, 376, 665, 867] info --- {'sequence': ['N520', 'N223', 'N201', 'N342', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.348678588867188 logZ --- 0.9056265950202942
observation --- [134, 501, 46, 97, 867] info --- {'sequence': ['N693', 'N91', 'N470', 'N112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.184643745422363 logZ --- 0.9056265950202942
observation --- [85, 593, 733, 239, 867] info --- {'sequence': ['N218', 'N301', 'N445', 'N420', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.03620719909668 logZ --- 0.9011760354042053
