observation --- [21, 406, 844, 564, 465, 682, 868] info --- {'sequence': ['N411', 'N367', 'N300', 'E204', 'E45', 'E209', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2181556989001658 loss --- 678.531494140625 logZ --- 1.0635805130004883
observation --- [84, 562, 268, 842, 680, 168, 868] info --- {'sequence': ['N410', 'N68', 'N391', 'E68', 'E104', 'E159', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 34.775142669677734 logZ --- 1.0635805130004883
observation --- [854, 523, 268, 366, 480, 366, 868] info --- {'sequence': ['N60', 'N188', 'N391', 'E170', 'E176', 'E170', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1413791177254666 loss --- 693.8934936523438 logZ --- 1.068325400352478
observation --- [635, 251, 530, 117, 837, 725, 868] info --- {'sequence': ['N641', 'N304', 'N254', 'E42', 'E139', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 34.310150146484375 logZ --- 1.068325400352478
observation --- [556, 761, 138, 496, 345, 700, 868] info --- {'sequence': ['N717', 'N327', 'N242', 'E65', 'E58', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 36.101924896240234 logZ --- 1.068325400352478
observation --- [67, 761, 206, 779, 579, 293, 868] info --- {'sequence': ['N157', 'N327', 'N172', 'E51', 'E173', 'E9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 40.08012771606445 logZ --- 1.068325400352478
observation --- [854, 706, 410, 116, 99, 223, 868] info --- {'sequence': ['N60', 'N50', 'N572', 'E163', 'E21', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.017310886371139 loss --- 703.1210327148438 logZ --- 1.068325400352478
observation --- [169, 370, 658, 124, 402, 73, 868] info --- {'sequence': ['N279', 'N256', 'N671', 'E135', 'E61', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 45.629241943359375 logZ --- 1.0730555057525635
observation --- [434, 814, 410, 592, 167, 189, 868] info --- {'sequence': ['N377', 'N190', 'N572', 'E41', 'E193', 'E66', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.010750473681099 loss --- 730.9946899414062 logZ --- 1.0730555057525635
observation --- [93, 569, 554, 335, 842, 315, 868] info --- {'sequence': ['N403', 'N434', 'N206', 'E96', 'E68', 'E99', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 47.24965286254883 logZ --- 1.0730555057525635
