observation --- [576, 525, 219, 822, 216, 868] info --- {'sequence': ['N455', 'N525', 'N611', 'E48', 'E74', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.422673225402832 logZ --- 1.0649747848510742
observation --- [580, 307, 2, 620, 223, 868] info --- {'sequence': ['N223', 'N688', 'N80', 'E229', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.516864178861123 loss --- 555.2395629882812 logZ --- 1.0649747848510742
observation --- [736, 576, 191, 109, 582, 868] info --- {'sequence': ['N631', 'N455', 'N474', 'E40', 'E178', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0642591000548773 loss --- 507.0447692871094 logZ --- 1.0649747848510742
observation --- [729, 144, 540, 643, 430, 868] info --- {'sequence': ['N12', 'N257', 'N695', 'E107', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1084660793289953 loss --- 523.1265258789062 logZ --- 1.0649747848510742
observation --- [757, 308, 570, 672, 402, 868] info --- {'sequence': ['N464', 'N193', 'N516', 'E201', 'E61', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3393583967595581 loss --- 507.58416748046875 logZ --- 1.0649747848510742
observation --- [559, 455, 89, 260, 550, 868] info --- {'sequence': ['N129', 'N564', 'N473', 'E83', 'E108', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3894319070477563 loss --- 513.1435546875 logZ --- 1.069943904876709
observation --- [493, 576, 65, 817, 112, 868] info --- {'sequence': ['N557', 'N455', 'N186', 'E88', 'E37', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2686463102354975 loss --- 531.4583740234375 logZ --- 1.069943904876709
observation --- [754, 128, 297, 654, 496, 868] info --- {'sequence': ['N194', 'N317', 'N713', 'E145', 'E65', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0223524510428057 loss --- 554.1126708984375 logZ --- 1.069943904876709
observation --- [41, 82, 424, 811, 73, 868] info --- {'sequence': ['N551', 'N718', 'N18', 'E90', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0526265035277331 loss --- 549.8360595703125 logZ --- 1.069943904876709
observation --- [541, 230, 686, 208, 142, 868] info --- {'sequence': ['N87', 'N654', 'N126', 'E158', 'E210', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2102909018364751 loss --- 553.984375 logZ --- 1.069943904876709
observation --- [231, 290, 356, 759, 759, 868] info --- {'sequence': ['N211', 'N512', 'N48', 'E38', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5856802145737086 loss --- 560.20703125 logZ --- 1.0749692916870117
observation --- [82, 150, 812, 167, 610, 868] info --- {'sequence': ['N718', 'N302', 'N415', 'E193', 'E24', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.190400147602727 loss --- 571.0394287109375 logZ --- 1.0749692916870117
observation --- [247, 661, 136, 378, 547, 868] info --- {'sequence': ['N524', 'N597', 'N519', 'E29', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.243046184204958 loss --- 534.8595581054688 logZ --- 1.0749692916870117
observation --- [601, 732, 657, 243, 811, 868] info --- {'sequence': ['N128', 'N390', 'N484', 'E15', 'E90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1262909236162801 loss --- 547.109375 logZ --- 1.0749692916870117
observation --- [151, 139, 444, 568, 662, 868] info --- {'sequence': ['N575', 'N44', 'N10', 'E154', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.039809241344646 loss --- 535.6115112304688 logZ --- 1.0749692916870117
observation --- [176, 733, 854, 175, 467, 868] info --- {'sequence': ['N547', 'N445', 'N60', 'E184', 'E10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1164912593334126 loss --- 533.1843872070312 logZ --- 1.080042839050293
observation --- [830, 757, 122, 520, 568, 868] info --- {'sequence': ['N282', 'N464', 'N245', 'E113', 'E154', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1049204564579398 loss --- 549.2608032226562 logZ --- 1.080042839050293
observation --- [479, 261, 861, 750, 815, 868] info --- {'sequence': ['N624', 'N618', 'N558', 'E64', 'E156', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.284768779001875 loss --- 542.8273315429688 logZ --- 1.080042839050293
observation --- [407, 665, 24, 506, 700, 868] info --- {'sequence': ['N255', 'N342', 'N160', 'E127', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1910528172457615 loss --- 543.8125 logZ --- 1.080042839050293
observation --- [661, 835, 295, 299, 725, 868] info --- {'sequence': ['N597', 'N689', 'N679', 'E225', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4834789117609513 loss --- 539.6132202148438 logZ --- 1.080042839050293
observation --- [711, 705, 438, 142, 280, 868] info --- {'sequence': ['N522', 'N539', 'N130', 'E210', 'E72', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0049053648282242 loss --- 534.6912841796875 logZ --- 1.0851536989212036
observation --- [856, 114, 556, 168, 671, 868] info --- {'sequence': ['N603', 'N355', 'N717', 'E159', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0314257282205284 loss --- 522.5635986328125 logZ --- 1.0851536989212036
observation --- [390, 361, 59, 467, 510, 868] info --- {'sequence': ['N330', 'N424', 'N23', 'E10', 'E190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.6693231965003463 loss --- 573.4686279296875 logZ --- 1.0851536989212036
observation --- [289, 478, 136, 142, 491, 868] info --- {'sequence': ['N580', 'N4', 'N519', 'E210', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2592782347529832 loss --- 568.387451171875 logZ --- 1.0851536989212036
observation --- [835, 525, 356, 27, 667, 868] info --- {'sequence': ['N689', 'N525', 'N48', 'E73', 'E134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3111782064967779 loss --- 560.4851684570312 logZ --- 1.0851536989212036
observation --- [601, 150, 519, 776, 796, 868] info --- {'sequence': ['N128', 'N302', 'N456', 'E105', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.22852391770164 loss --- 541.1093139648438 logZ --- 1.0902979373931885
observation --- [234, 101, 597, 319, 664, 868] info --- {'sequence': ['N153', 'N303', 'N440', 'E44', 'E195', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.945927619934082 logZ --- 1.0902979373931885
observation --- [361, 144, 778, 694, 612, 868] info --- {'sequence': ['N424', 'N257', 'N687', 'E206', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0433343904464607 loss --- 527.70654296875 logZ --- 1.0902979373931885
observation --- [289, 97, 570, 671, 672, 868] info --- {'sequence': ['N580', 'N112', 'N516', 'E97', 'E201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2656852009492259 loss --- 485.560546875 logZ --- 1.0902979373931885
observation --- [172, 234, 297, 161, 529, 868] info --- {'sequence': ['N409', 'N153', 'N713', 'E85', 'E129', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0386761532544955 loss --- 502.263671875 logZ --- 1.0902979373931885
observation --- [576, 172, 769, 606, 252, 868] info --- {'sequence': ['N455', 'N409', 'N51', 'E110', 'E233', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0561565993103064 loss --- 521.0751953125 logZ --- 1.0954005718231201
observation --- [137, 705, 77, 624, 460, 868] info --- {'sequence': ['N387', 'N539', 'N477', 'E199', 'E192', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0523666784797068 loss --- 563.3666381835938 logZ --- 1.0954005718231201
observation --- [231, 145, 2, 440, 719, 868] info --- {'sequence': ['N211', 'N263', 'N80', 'E30', 'E49', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5489448881543995 loss --- 603.2305908203125 logZ --- 1.0954005718231201
observation --- [211, 501, 843, 12, 299, 868] info --- {'sequence': ['N500', 'N91', 'N320', 'E218', 'E225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1157835267828913 loss --- 521.2918701171875 logZ --- 1.0954005718231201
observation --- [525, 172, 444, 564, 27, 868] info --- {'sequence': ['N525', 'N409', 'N10', 'E204', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.326653480529785 logZ --- 1.0954005718231201
observation --- [736, 566, 295, 431, 561, 868] info --- {'sequence': ['N631', 'N17', 'N679', 'E168', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.198835372924805 logZ --- 1.1004782915115356
observation --- [373, 146, 214, 331, 612, 868] info --- {'sequence': ['N538', 'N503', 'N592', 'E20', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.34032539715576 loss --- 528.0891723632812 logZ --- 1.1004782915115356
