observation --- [224, 428, 825, 47, 518, 23, 868] info --- {'sequence': ['N493', 'N492', 'N237', 'E8', 'E232', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 81.03828430175781 logZ --- 1.077497124671936
observation --- [860, 642, 288, 13, 245, 6, 868] info --- {'sequence': ['N612', 'N27', 'N700', 'E222', 'E230', 'E23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 77.63426971435547 logZ --- 1.077497124671936
observation --- [698, 711, 226, 126, 246, 612, 868] info --- {'sequence': ['N560', 'N522', 'N267', 'E112', 'E185', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 83.74266815185547 logZ --- 1.077497124671936
observation --- [451, 666, 226, 664, 225, 166, 868] info --- {'sequence': ['N36', 'N466', 'N267', 'E195', 'E78', 'E14', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0221390897650102 loss --- 789.6782836914062 logZ --- 1.077497124671936
observation --- [578, 123, 645, 210, 808, 124, 868] info --- {'sequence': ['N442', 'N90', 'N115', 'E17', 'E2', 'E135', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0662914936293668 loss --- 896.6807250976562 logZ --- 1.077497124671936
observation --- [106, 390, 372, 709, 195, 260, 868] info --- {'sequence': ['N311', 'N330', 'N607', 'E1', 'E81', 'E83', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1773085095420794 loss --- 895.0433959960938 logZ --- 1.082093596458435
observation --- [820, 390, 91, 604, 725, 819, 868] info --- {'sequence': ['N457', 'N330', 'N307', 'E4', 'E179', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1538246862087214 loss --- 885.65478515625 logZ --- 1.082093596458435
observation --- [628, 82, 552, 506, 117, 496, 868] info --- {'sequence': ['N569', 'N718', 'N305', 'E127', 'E42', 'E65', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.018821083325105 loss --- 882.0140380859375 logZ --- 1.082093596458435
observation --- [74, 137, 134, 557, 216, 693, 868] info --- {'sequence': ['N240', 'N387', 'N693', 'E114', 'E74', 'E95', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 87.15157318115234 logZ --- 1.082093596458435
observation --- [790, 308, 834, 667, 827, 487, 868] info --- {'sequence': ['N108', 'N193', 'N371', 'E134', 'E98', 'E181', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 64.79889678955078 logZ --- 1.082093596458435
observation --- [747, 248, 617, 649, 510, 440, 868] info --- {'sequence': ['N324', 'N174', 'N346', 'E101', 'E190', 'E30', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.00737763069109 loss --- 829.5349731445312 logZ --- 1.0868327617645264
observation --- [486, 387, 265, 719, 813, 520, 868] info --- {'sequence': ['N220', 'N113', 'N398', 'E49', 'E203', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 78.25226593017578 logZ --- 1.0868327617645264
observation --- [545, 479, 537, 600, 833, 664, 868] info --- {'sequence': ['N155', 'N624', 'N215', 'E53', 'E89', 'E195', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 86.62026977539062 logZ --- 1.0868327617645264
observation --- [301, 617, 710, 457, 167, 632, 868] info --- {'sequence': ['N105', 'N346', 'N404', 'E130', 'E193', 'E143', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 87.70736694335938 logZ --- 1.0868327617645264
observation --- [371, 509, 449, 846, 750, 23, 868] info --- {'sequence': ['N634', 'N202', 'N562', 'E32', 'E64', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.019755362844973 loss --- 782.7932739257812 logZ --- 1.0868327617645264
observation --- [463, 144, 814, 646, 354, 328, 868] info --- {'sequence': ['N295', 'N257', 'N190', 'E106', 'E148', 'E102', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0203144105694235 loss --- 873.4346923828125 logZ --- 1.0916131734848022
observation --- [95, 501, 699, 636, 378, 664, 868] info --- {'sequence': ['N483', 'N91', 'N219', 'E82', 'E29', 'E195', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0748628605047452 loss --- 826.9515380859375 logZ --- 1.0916131734848022
observation --- [655, 767, 57, 275, 672, 223, 868] info --- {'sequence': ['N690', 'N259', 'N34', 'E207', 'E201', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0198884774186865 loss --- 885.1473999023438 logZ --- 1.0916131734848022
observation --- [549, 308, 814, 5, 436, 643, 868] info --- {'sequence': ['N602', 'N193', 'N190', 'E56', 'E208', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 82.02474212646484 logZ --- 1.0916131734848022
observation --- [488, 659, 28, 403, 443, 404, 868] info --- {'sequence': ['N273', 'N313', 'N39', 'E116', 'E47', 'E122', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2780930771656 loss --- 856.2977294921875 logZ --- 1.0916131734848022
observation --- [614, 105, 830, 579, 12, 246, 868] info --- {'sequence': ['N328', 'N417', 'N282', 'E173', 'E218', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 69.8221435546875 logZ --- 1.0965591669082642
