observation --- [635, 266, 526, 867] info --- {'sequence': ['N641', 'N25', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.3142318725586 logZ --- 0.9223855137825012
observation --- [294, 19, 816, 867] info --- {'sequence': ['N315', 'N639', 'N536', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.55001831054688 logZ --- 0.9223855137825012
observation --- [769, 266, 250, 867] info --- {'sequence': ['N51', 'N25', 'N9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.68585205078125 logZ --- 0.9178788661956787
observation --- [575, 489, 348, 867] info --- {'sequence': ['N571', 'N429', 'N268', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.35301971435547 logZ --- 0.9178788661956787
observation --- [626, 843, 627, 867] info --- {'sequence': ['N216', 'N320', 'N198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.02458953857422 logZ --- 0.9178788661956787
observation --- [89, 657, 546, 867] info --- {'sequence': ['N473', 'N484', 'N481', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.90021514892578 logZ --- 0.9178788661956787
observation --- [249, 458, 347, 867] info --- {'sequence': ['N321', 'N610', 'N447', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0041223956107332 loss --- 127.59174346923828 logZ --- 0.9178788661956787
observation --- [55, 59, 284, 867] info --- {'sequence': ['N81', 'N23', 'N92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.8996353149414 logZ --- 0.9134270548820496
observation --- [591, 434, 526, 867] info --- {'sequence': ['N137', 'N377', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.79873657226562 logZ --- 0.9134270548820496
observation --- [419, 861, 526, 867] info --- {'sequence': ['N225', 'N558', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.99445343017578 logZ --- 0.9134270548820496
observation --- [434, 626, 688, 867] info --- {'sequence': ['N377', 'N216', 'N125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.08163452148438 logZ --- 0.9134270548820496
observation --- [84, 602, 125, 867] info --- {'sequence': ['N410', 'N19', 'N197', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.75997161865234 logZ --- 0.9134270548820496
observation --- [695, 485, 473, 867] info --- {'sequence': ['N196', 'N79', 'N343', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.76364135742188 logZ --- 0.9087969064712524
observation --- [519, 519, 264, 867] info --- {'sequence': ['N456', 'N456', 'N554', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1609044842508218 loss --- 137.7779541015625 logZ --- 0.9087969064712524
observation --- [19, 444, 310, 867] info --- {'sequence': ['N639', 'N10', 'N508', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.63517761230469 logZ --- 0.9087969064712524
observation --- [854, 191, 337, 867] info --- {'sequence': ['N60', 'N474', 'N589', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.01923370361328 logZ --- 0.9087969064712524
observation --- [585, 843, 660, 867] info --- {'sequence': ['N20', 'N320', 'N553', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 78.9109115600586 logZ --- 0.9087969064712524
observation --- [422, 686, 473, 867] info --- {'sequence': ['N579', 'N126', 'N343', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0351179728341597 loss --- 125.73644256591797 logZ --- 0.9042419195175171
observation --- [586, 591, 426, 867] info --- {'sequence': ['N682', 'N137', 'N504', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.89352416992188 logZ --- 0.9042419195175171
observation --- [89, 556, 820, 867] info --- {'sequence': ['N473', 'N717', 'N457', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.94988250732422 logZ --- 0.9042419195175171
observation --- [357, 778, 524, 867] info --- {'sequence': ['N495', 'N687', 'N134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.40284729003906 logZ --- 0.9042419195175171
observation --- [64, 429, 127, 867] info --- {'sequence': ['N285', 'N63', 'N286', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.32813262939453 logZ --- 0.9042419195175171
observation --- [39, 77, 524, 867] info --- {'sequence': ['N416', 'N477', 'N134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.60261535644531 logZ --- 0.8997451066970825
observation --- [843, 191, 526, 867] info --- {'sequence': ['N320', 'N474', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.6338882446289 logZ --- 0.8997451066970825
observation --- [67, 419, 273, 867] info --- {'sequence': ['N157', 'N225', 'N270', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.12166595458984 logZ --- 0.8997451066970825
observation --- [64, 136, 786, 867] info --- {'sequence': ['N285', 'N519', 'N422', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 78.2271499633789 logZ --- 0.8997451066970825
