observation --- [67, 213, 226, 815, 567, 868] info --- {'sequence': ['N157', 'N479', 'N267', 'E156', 'E3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0754988455997763 loss --- 468.4656677246094 logZ --- 1.054389476776123
observation --- [321, 773, 756, 763, 564, 868] info --- {'sequence': ['N231', 'N102', 'N627', 'E211', 'E204', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.5058534145355225 logZ --- 1.0588710308074951
observation --- [191, 264, 387, 827, 47, 868] info --- {'sequence': ['N474', 'N554', 'N113', 'E98', 'E8', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0708508934807304 loss --- 461.96807861328125 logZ --- 1.0588710308074951
observation --- [556, 660, 90, 210, 491, 868] info --- {'sequence': ['N717', 'N553', 'N450', 'E17', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.613520028410524 loss --- 496.3517761230469 logZ --- 1.0588710308074951
observation --- [59, 614, 454, 639, 819, 868] info --- {'sequence': ['N23', 'N328', 'N520', 'E6', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1171005770796574 loss --- 481.3234558105469 logZ --- 1.0588710308074951
observation --- [586, 303, 372, 624, 470, 868] info --- {'sequence': ['N682', 'N354', 'N607', 'E199', 'E205', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.602609395980835 logZ --- 1.0588710308074951
observation --- [519, 605, 90, 11, 613, 868] info --- {'sequence': ['N456', 'N340', 'N450', 'E25', 'E115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0817772642443115 loss --- 472.1278991699219 logZ --- 1.063429832458496
observation --- [853, 627, 598, 671, 833, 868] info --- {'sequence': ['N298', 'N198', 'N312', 'E97', 'E89', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.4301402568817139 logZ --- 1.063429832458496
observation --- [444, 605, 179, 622, 12, 868] info --- {'sequence': ['N10', 'N340', 'N161', 'E147', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0648405010106692 loss --- 485.9713439941406 logZ --- 1.063429832458496
observation --- [585, 264, 386, 189, 216, 868] info --- {'sequence': ['N20', 'N554', 'N514', 'E66', 'E74', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.993740439414978 logZ --- 1.063429832458496
observation --- [84, 250, 265, 606, 783, 868] info --- {'sequence': ['N410', 'N9', 'N398', 'E110', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0463738309164088 loss --- 468.0944519042969 logZ --- 1.063429832458496
observation --- [575, 213, 134, 116, 405, 868] info --- {'sequence': ['N571', 'N479', 'N693', 'E163', 'E119', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.689211368560791 logZ --- 1.0680475234985352
observation --- [122, 343, 830, 520, 400, 868] info --- {'sequence': ['N245', 'N421', 'N282', 'E113', 'E63', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.136021852493286 logZ --- 1.0680475234985352
observation --- [154, 773, 714, 779, 124, 868] info --- {'sequence': ['N488', 'N102', 'N697', 'E51', 'E135', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.4513216018676758 logZ --- 1.0680475234985352
observation --- [84, 816, 387, 260, 135, 868] info --- {'sequence': ['N410', 'N536', 'N113', 'E83', 'E194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.196369957086264 loss --- 424.10089111328125 logZ --- 1.0680475234985352
observation --- [334, 341, 129, 408, 811, 868] info --- {'sequence': ['N163', 'N684', 'N52', 'E152', 'E90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.7283997535705566 logZ --- 1.0680475234985352
observation --- [422, 127, 365, 17, 280, 868] info --- {'sequence': ['N579', 'N286', 'N184', 'E219', 'E72', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.341371536254883 logZ --- 1.0724618434906006
observation --- [626, 127, 830, 161, 817, 868] info --- {'sequence': ['N216', 'N286', 'N282', 'E85', 'E88', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.216450572013855 logZ --- 1.0724618434906006
observation --- [422, 310, 562, 534, 335, 868] info --- {'sequence': ['N579', 'N508', 'N68', 'E126', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1688509760924843 loss --- 461.0904541015625 logZ --- 1.0724618434906006
observation --- [153, 213, 50, 331, 709, 868] info --- {'sequence': ['N117', 'N479', 'N435', 'E20', 'E1', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.339287461346987 loss --- 450.4178161621094 logZ --- 1.0724618434906006
observation --- [434, 708, 288, 440, 245, 868] info --- {'sequence': ['N377', 'N287', 'N700', 'E30', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.507084846496582 logZ --- 1.0724618434906006
observation --- [438, 250, 756, 842, 299, 868] info --- {'sequence': ['N130', 'N9', 'N627', 'E68', 'E225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.196110248565674 logZ --- 1.0768457651138306
observation --- [219, 786, 428, 414, 42, 868] info --- {'sequence': ['N611', 'N422', 'N492', 'E188', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0066080245592133 loss --- 469.7337341308594 logZ --- 1.0768457651138306
