observation --- [486, 178, 686, 510, 672, 868] info --- {'sequence': ['N220', 'N444', 'N126', 'E190', 'E201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.20798936486244202 logZ --- 1.0206153392791748
observation --- [68, 143, 438, 836, 763, 868] info --- {'sequence': ['N180', 'N650', 'N130', 'E128', 'E211', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.13233382999897003 logZ --- 1.0206153392791748
observation --- [651, 143, 64, 721, 750, 868] info --- {'sequence': ['N283', 'N650', 'N285', 'E217', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.05038941279053688 logZ --- 1.0206153392791748
observation --- [78, 143, 2, 484, 803, 868] info --- {'sequence': ['N234', 'N650', 'N80', 'E109', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.003084065392613411 logZ --- 1.0232043266296387
observation --- [367, 143, 657, 759, 474, 868] info --- {'sequence': ['N143', 'N650', 'N484', 'E38', 'E70', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.57011878490448 logZ --- 1.0232043266296387
observation --- [475, 143, 861, 328, 195, 868] info --- {'sequence': ['N406', 'N650', 'N558', 'E102', 'E81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0018584629287943244 logZ --- 1.0232043266296387
observation --- [78, 143, 89, 63, 73, 868] info --- {'sequence': ['N234', 'N650', 'N473', 'E76', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0012870386708527803 logZ --- 1.0232043266296387
observation --- [437, 178, 444, 63, 781, 868] info --- {'sequence': ['N308', 'N444', 'N10', 'E76', 'E138', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.1373993158340454 logZ --- 1.0232043266296387
observation --- [349, 143, 482, 277, 23, 868] info --- {'sequence': ['N144', 'N650', 'N499', 'E132', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.09177286922931671 logZ --- 1.0255011320114136
observation --- [828, 143, 485, 29, 331, 868] info --- {'sequence': ['N264', 'N650', 'N79', 'E180', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.02932635322213173 logZ --- 1.0255011320114136
observation --- [753, 143, 482, 817, 124, 868] info --- {'sequence': ['N453', 'N650', 'N499', 'E88', 'E135', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.17598694562911987 logZ --- 1.0255011320114136
observation --- [545, 143, 626, 534, 672, 868] info --- {'sequence': ['N155', 'N650', 'N216', 'E126', 'E201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.0218995157629251e-05 logZ --- 1.0255011320114136
observation --- [536, 143, 122, 142, 547, 868] info --- {'sequence': ['N336', 'N650', 'N245', 'E210', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0035595381632447243 logZ --- 1.0255011320114136
observation --- [392, 143, 219, 837, 216, 868] info --- {'sequence': ['N533', 'N650', 'N611', 'E139', 'E74', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.1482178270816803 logZ --- 1.0275607109069824
observation --- [685, 143, 585, 245, 472, 868] info --- {'sequence': ['N33', 'N650', 'N20', 'E230', 'E131', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.4772569537162781 logZ --- 1.0275607109069824
observation --- [730, 178, 597, 366, 550, 868] info --- {'sequence': ['N486', 'N444', 'N440', 'E170', 'E108', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.157277675811201e-05 logZ --- 1.0275607109069824
observation --- [468, 143, 695, 299, 12, 868] info --- {'sequence': ['N674', 'N650', 'N196', 'E225', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9329378604888916 logZ --- 1.0275607109069824
observation --- [416, 178, 297, 440, 721, 868] info --- {'sequence': ['N552', 'N444', 'N713', 'E30', 'E217', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.024389034137129784 logZ --- 1.0275607109069824
observation --- [533, 178, 219, 847, 808, 868] info --- {'sequence': ['N6', 'N444', 'N611', 'E221', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0064079801793937 loss --- 388.75335693359375 logZ --- 1.029327630996704
observation --- [95, 178, 854, 791, 687, 868] info --- {'sequence': ['N483', 'N444', 'N60', 'E177', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0071601406671106815 logZ --- 1.029327630996704
observation --- [638, 178, 586, 436, 335, 868] info --- {'sequence': ['N598', 'N444', 'N682', 'E208', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.06088738515973091 logZ --- 1.029327630996704
